PTH, Threads: 4, 2 X 2 Matrix, Duration: 398us
PTH, Threads: 4, 2 X 2 Matrix, Duration: 509us
PTH, Threads: 4, 4 X 4 Matrix, Duration: 390us
PTH, Threads: 4, 8 X 8 Matrix, Duration: 407us
PTH, Threads: 4, 16 X 16 Matrix, Duration: 377us
PTH, Threads: 4, 32 X 32 Matrix, Duration: 533us
PTH, Threads: 4, 64 X 64 Matrix, Duration: 4555us
PTH, Threads: 4, 128 X 128 Matrix, Duration: 2061us
PTH, Threads: 4, 256 X 256 Matrix, Duration: 21969us
PTH, Threads: 4, 512 X 512 Matrix, Duration: 170525us
PTH, Threads: 8, 2 X 2 Matrix, Duration: 742us
PTH, Threads: 8, 4 X 4 Matrix, Duration: 701us
PTH, Threads: 8, 8 X 8 Matrix, Duration: 744us
PTH, Threads: 8, 16 X 16 Matrix, Duration: 698us
PTH, Threads: 8, 32 X 32 Matrix, Duration: 835us
PTH, Threads: 8, 64 X 64 Matrix, Duration: 845us
PTH, Threads: 8, 128 X 128 Matrix, Duration: 2580us
PTH, Threads: 8, 256 X 256 Matrix, Duration: 18495us
PTH, Threads: 8, 512 X 512 Matrix, Duration: 115603us
PTH, Threads: 16, 2 X 2 Matrix, Duration: 5212us
PTH, Threads: 16, 4 X 4 Matrix, Duration: 1553us
PTH, Threads: 16, 8 X 8 Matrix, Duration: 1490us
PTH, Threads: 16, 16 X 16 Matrix, Duration: 1471us
PTH, Threads: 16, 32 X 32 Matrix, Duration: 5262us
PTH, Threads: 16, 32 X 32 Matrix, Duration: 1319us
PTH, Threads: 16, 64 X 64 Matrix, Duration: 1640us
PTH, Threads: 16, 128 X 128 Matrix, Duration: 6369us
PTH, Threads: 16, 256 X 256 Matrix, Duration: 15644us
PTH, Threads: 16, 256 X 256 Matrix, Duration: 15500us
PTH, Threads: 16, 512 X 512 Matrix, Duration: 121853us
PTH, Threads: 32, 2 X 2 Matrix, Duration: 6925us
PTH, Threads: 32, 4 X 4 Matrix, Duration: 2960us
PTH, Threads: 32, 8 X 8 Matrix, Duration: 2980us
PTH, Threads: 32, 16 X 16 Matrix, Duration: 2809us
PTH, Threads: 32, 32 X 32 Matrix, Duration: 2681us
PTH, Threads: 32, 64 X 64 Matrix, Duration: 6897us
PTH, Threads: 32, 128 X 128 Matrix, Duration: 3404us
PTH, Threads: 32, 256 X 256 Matrix, Duration: 17314us
PTH, Threads: 32, 512 X 512 Matrix, Duration: 159459us
PTH, Threads: 64, 2 X 2 Matrix, Duration: 5821us
PTH, Threads: 64, 4 X 4 Matrix, Duration: 6154us
PTH, Threads: 64, 8 X 8 Matrix, Duration: 5505us
PTH, Threads: 64, 16 X 16 Matrix, Duration: 10321us
PTH, Threads: 64, 32 X 32 Matrix, Duration: 5709us
PTH, Threads: 64, 64 X 64 Matrix, Duration: 6337us
PTH, Threads: 64, 128 X 128 Matrix, Duration: 5957us
PTH, Threads: 64, 256 X 256 Matrix, Duration: 18835us
PTH, Threads: 64, 512 X 512 Matrix, Duration: 100128us
PTH, Threads: 128, 2 X 2 Matrix, Duration: 17791us
PTH, Threads: 128, 4 X 4 Matrix, Duration: 10900us
PTH, Threads: 128, 8 X 8 Matrix, Duration: 14303us
PTH, Threads: 128, 16 X 16 Matrix, Duration: 15643us
PTH, Threads: 128, 32 X 32 Matrix, Duration: 14388us
PTH, Threads: 128, 64 X 64 Matrix, Duration: 14830us
PTH, Threads: 128, 128 X 128 Matrix, Duration: 18751us
PTH, Threads: 128, 256 X 256 Matrix, Duration: 21762us
PTH, Threads: 128, 512 X 512 Matrix, Duration: 106921us
OMP, Threads: 2, 16 X 16 Matrix, Duration: 183us
PTH, Threads: 128, 512 X 512 Matrix, Duration: 102166us
OMP, Threads: 2, 32 X 32 Matrix, Duration: 194us
OMP, Threads: 2, 64 X 64 Matrix, Duration: 4525us
